Country,GDP_per_capita_PPP
Afghanistan,2144.1665
Albania,16353.809
Algeria,14496.865
Andorra,59332.203
Angola,7408.1265
Antigua and Barbuda,25733.295
Argentina,26300.273
Armenia,15921.705
Aruba,35696.31
Australia,57321.562
Austria,63576.242
Azerbaijan,20111.375
Bahamas,29340.473
Bahrain,54954.676
Bangladesh,7441.0693
Barbados,15683.885
Belarus,27611.18
Belgium,61873.965
Belize,11677.461
Benin,3464.2886
Bermuda,92276.234
Bhutan,13458.8125
Bolivia,9454.198
Bosnia and Herzegovina,18544.076
Botswana,17961.357
Brazil,18075.705
Brunei,78248.8
Bulgaria,29536.678
Burkina Faso,2486.431
Burundi,836.6656
Cambodia,6225.5327
Cameroon,4793.556
Canada,55781.7
Cape Verde,7685.4194
Cayman Islands,74150.86
Central African Republic,1128.5524
Chad,1700.167
Chile,29105.102
China,20406.73
Colombia,17700.06
Comoros,3441.2117
Congo,6263.2114
Costa Rica,24140.434
Cote d'Ivoire,6045.2046
Croatia,36914.113
Curacao,25163.994
Cyprus,49929.84
Czechia,49995.703
Democratic Republic of Congo,1313.6182
Denmark,70342.32
Djibouti,5947.861
Dominica,15594.285
Dominican Republic,21912.26
East Asia and Pacific (WB),21174.826
East Timor,6824.7925
Ecuador,13539.711
Egypt,15579.016
El Salvador,10809.714
Equatorial Guinea,16821.45
Estonia,45063.543
Eswatini,9846.207
Ethiopia,2588.413
Europe and Central Asia (WB),42726.246
European Union (27),52528.516
Faeroe Islands,67757.77
Fiji,10685.197
Finland,57350.87
France,53901.11
Gabon,18523.58
Gambia,2777.7961
Georgia,18915.654
Germany,62950.047
Ghana,6607.503
Greece,33577.51
Greenland,68086.46
Grenada,15298.123
Guatemala,11828.33
Guinea,3738.8052
Guinea-Bissau,2450.978
Guyana,22865.932
Haiti,3134.9502
High-income countries,55581.68
Honduras,6202.981
Hong Kong,65884.94
Hungary,38648.0
Iceland,62032.27
India,8050.0186
Indonesia,12757.074
Iran,14951.895
Iraq,12731.754
Ireland,118102.766
Israel,46238.223
Italy,50465.086
Jamaica,9577.164
Japan,44549.34
Jordan,9182.496
Kazakhstan,32945.85
Kenya,5338.8525
Kiribati,3049.4739
Kosovo,12362.414
Kuwait,50689.043
Kyrgyzstan,5736.479
Laos,8080.4355
Latin America and Caribbean (WB),18734.184
Latvia,35604.9
Lebanon,11599.775
Lesotho,2544.7825
Liberia,1539.2089
Libya,12641.51
Lithuania,46575.69
Low-income countries,2312.7751
Lower-middle-income countries,7650.304
Luxembourg,137947.34
Macao,74177.78
Madagascar,1599.4127
Malawi,1687.5936
Malaysia,29822.85
Maldives,19052.623
Mali,2347.6274
Malta,58199.4
Marshall Islands,6705.8755
Mauritania,5836.566
Mauritius,22737.572
Mexico,21031.709
Micronesia (country),3921.725
Middle East and North Africa (WB),18012.875
Middle-income countries,13260.085
Moldova,15682.07
Mongolia,14792.251
Montenegro,24509.936
Morocco,8623.266
Mozambique,1457.2354
Myanmar,5178.4473
Namibia,9709.1
Nauru,12196.6455
Nepal,4546.2295
Netherlands,69323.33
New Zealand,48194.043
Nicaragua,7086.6226
Niger,1585.5992
Nigeria,5491.7
North America (WB),69717.77
North Macedonia,22371.496
Norway,89209.14
Oman,38719.457
Pakistan,5367.2734
Palau,15663.175
Palestine,5663.1216
Panama,30932.764
Papua New Guinea,3976.9038
Paraguay,15406.167
Peru,15282.273
Philippines,8857.79
Poland,41774.582
Portugal,38862.09
Puerto Rico,40559.7
Qatar,116832.57
Romania,38071.176
Russia,38938.496
Rwanda,2731.09
Saint Kitts and Nevis,26896.617
Saint Lucia,19101.166
Saint Vincent and the Grenadines,15900.977
Samoa,6214.017
San Marino,64745.133
Sao Tome and Principe,5732.6943
Saudi Arabia,55768.234
Senegal,4173.6772
Serbia,23668.523
Seychelles,29979.828
Sierra Leone,2848.706
Singapore,131864.1
Sint Maarten (Dutch part),40507.066
Slovakia,38437.492
Slovenia,46274.28
Solomon Islands,2518.4216
Somalia,1392.4642
South Africa,13711.294
South Asia (WB),7561.3926
South Korea,48571.434
Spain,44091.11
Sri Lanka,14316.135
Sub-Saharan Africa (WB),4243.1323
Sudan,3248.9756
Suriname,18458.234
Sweden,63124.598
Switzerland,81603.21
Syria,4592.8384
Tajikistan,3985.9126
Tanzania,3493.083
Thailand,20245.242
Togo,2577.202
Tonga,7034.925
Trinidad and Tobago,30826.209
Tunisia,12375.343
Turkey,31637.53
Turkmenistan,16434.14
Turks and Caicos Islands,21192.482
Tuvalu,5352.973
Uganda,2684.9204
Ukraine,17846.408
United Arab Emirates,67401.125
United Kingdom,52872.195
United States,71318.305
United States Virgin Islands,46893.55
Upper-middle-income countries,19260.37
Uruguay,29441.477
Uzbekistan,9247.644
Vanuatu,3135.8367
Vietnam,12048.902
World,19702.84
Zambia,3503.035
Zimbabwe,3184.7854
