Country,Population
Afghanistan,40000360
Africa,1413750475
Africa (UN),1413753005
Albania,2849591
Algeria,44761051
American Samoa,49202
Americas (UN),1029207205
Andorra,78328
Angola,34532382
Anguilla,14458
Antigua and Barbuda,92316
Argentina,45312226
Armenia,2870293
Aruba,107524
Asia,4716996761
Asia (UN),4718316334
Asia (excl. China and India),1806393856
Australia,25956358
Austria,8967006
Azerbaijan,10234332
Bahamas,396326
Bahrain,1501708
Bangladesh,167658798
Barbados,282111
Belarus,9251315
Belgium,11570794
Belize,395312
Benin,13413371
Bermuda,64622
Bhutan,775407
Bolivia,11937318
Bonaire Sint Eustatius and Saba,27302
Bosnia and Herzegovina,3244869
Botswana,2401410
Brazil,209550238
British Virgin Islands,37790
Brunei,451676
Bulgaria,6877173
Burkina Faso,21995205
Burundi,12965439
Cambodia,16974258
Cameroon,26915707
Canada,38454011
Cape Verde,516610
Cayman Islands,70080
Central African Republic,5112047
Chad,17828225
Chile,19456275
China,1426437224
Colombia,51188120
Comoros,818133
Congo,5892137
Cook Islands,15158
Costa Rica,5059939
Cote d'Ivoire,29639680
Croatia,3924558
Cuba,11122126
Curacao,185279
Cyprus,1317269
Czechia,10530619
Democratic Republic of Congo,99148879
Denmark,5856724
Djibouti,1121203
Dominica,67176
Dominican Republic,11123434
East Timor,1350102
Ecuador,17682398
Egypt,110956950
El Salvador,6255737
Equatorial Guinea,1758752
Eritrea,3350142
Estonia,1331699
Eswatini,1206548
Ethiopia,122138537
Europe,749928573
Europe (UN),748613448
Europe (excl. Russia),607809728
European Union (27),447704571
Falkland Islands,3488
Faroe Islands,53286
Fiji,916669
Finland,5541019
France,66083491
French Guiana,292970
French Polynesia,279769
Gabon,2376684
Gambia,2575965
Georgia,3788400
Germany,83697031
Ghana,32518607
Gibraltar,36824
Greece,10579511
Greenland,56026
Grenada,116645
Guadeloupe,399107
Guam,163693
Guatemala,17598598
Guernsey,63398
Guinea,13710470
Guinea-Bissau,2058795
Guyana,815445
Haiti,11374546
High-income countries,1246785065
Honduras,10289829
Hong Kong,7484547
Hungary,9707794
Iceland,372597
India,1414203840
Indonesia,276758010
Iran,88455443
Iraq,43071162
Ireland,5028387
Isle of Man,84072
Israel,8942868
Italy,59729300
Jamaica,2837634
Japan,125679288
Jersey,103293
Jordan,11066310
Kazakhstan,19743565
Kenya,53219122
Kiribati,128346
Kosovo,1741407
Kuwait,4360703
Kyrgyzstan,6820433
Laos,7453143
Latin America and the Caribbean (UN),650465241
Latvia,1885546
Lebanon,5718083
Lesotho,2261496
Liberia,5259278
Libya,7135138
Liechtenstein,39018
Lithuania,2794443
Low-income countries,698214004
Lower-middle-income countries,3180606247
Luxembourg,640233
Macao,694363
Madagascar,29691033
Malawi,20047218
Malaysia,34282367
Maldives,516123
Mali,22388587
Malta,524335
Marshall Islands,41346
Martinique,353243
Mauritania,4734824
Mauritius,1279587
Mayotte,294385
Mexico,127648107
Micronesia (country),111589
Moldova,3023731
Monaco,38502
Mongolia,3339627
Montenegro,603805
Montserrat,4472
Morocco,36954394
Mozambique,31707757
Myanmar,53387059
Namibia,2810509
Nauru,11687
Nepal,29474963
Netherlands,17730519
New Caledonia,285177
New Zealand,5107644
Nicaragua,6644688
Niger,24502100
Nigeria,218529237
Niue,1799
North America,600874414
North Korea,26232476
North Macedonia,1851059
Northern America (UN),378741920
Northern Mariana Islands,46959
Norway,5408030
Oceania,44557503
Oceania (UN),44558158
Oman,4500378
Pakistan,239477758
Palau,17777
Palestine,5185289
Panama,4345360
Papua New Guinea,10012849
Paraguay,6684130
Peru,33155845
Philippines,113100906
Poland,38040252
Portugal,10390906
Puerto Rico,3253158
Qatar,2814939
Reunion,868026
Romania,19248115
Russia,145836117
Rwanda,13355214
Saint Barthelemy,10749
Saint Helena,5378
Saint Kitts and Nevis,46738
Saint Lucia,178489
Saint Martin (French part),29934
Saint Pierre and Miquelon,5757
Saint Vincent and the Grenadines,102797
Samoa,213745
San Marino,34546
Sao Tome and Principe,221926
Saudi Arabia,31328320
Senegal,17220821
Serbia,6835386
Seychelles,122951
Sierra Leone,8094551
Singapore,5546240
Sint Maarten (Dutch part),41546
Slovakia,5442712
Slovenia,2113450
Solomon Islands,762546
Somalia,17271386
South Africa,61502553
South America,428330745
South America (excl. Brazil),220974576
South Korea,51848358
South Sudan,10865735
Spain,47735610
Sri Lanka,22700326
Sudan,48066876
Suriname,617863
Svalbard and Jan Mayen,2400
Sweden,10416075
Switzerland,8706973
Syria,21628791
Taiwan,23558281
Tajikistan,9966868
Tanzania,62830365
Thailand,71727293
Togo,8878342
Tokelau,2193
Tonga,105450
Trinidad and Tobago,1487659
Tunisia,12048573
Turkey,86686206
Turkmenistan,7091984
Turks and Caicos Islands,45213
Tuvalu,10167
Uganda,45910886
Ukraine,44298591
United Arab Emirates,9789001
United Kingdom,67668749
United States,340161392
United States Virgin Islands,87184
Upper-middle-income countries,2826091728
Uruguay,3396643
Uzbekistan,34243658
Vanuatu,305836
Vatican,515
Venezuela,28237786
Vietnam,98935054
Wallis and Futuna,11544
Western Sahara,558577
World,7954448327
Yemen,37140180
Zambia,19603556
Zimbabwe,15797165
